,undp_hdi,ccodealp,ht_region,gle_cgdpc,imf_pop,ffp_hf,wef_qes,wdi_expedu,wdi_ners,region_str,test
43,0.82300001,HRV,1,18020.41,4.23799991607666,4.5,3.225566625595093,4.5816001892089835,92.67062377929688,EastEurope,
21,0.70599997,BLZ,10,6649.1401,0.3499999940395355,6.5,2.651880979537964,6.425839900970459,69.32601165771484,Caribbean,
48,0.92299998,DNK,5,37406.762,5.626999855041504,1.8999999761581419,4.81274938583374,8.627109527587892,89.81745910644531,WesternDem,
106,0.43799999,MLI,4,1063.26,14.854000091552729,8.399999618530272,3.003276109695435,3.7392899990081787,34.616100311279304,SubSaharian,
152,0.77499998,SRB,1,11343.92,7.166999816894531,5.300000190734863,3.0581588745117188,4.178609848022462,92.20523071289064,EastEurope,
8,0.93699998,AUS,5,38611.949,23.62100028991699,1.0,4.79896879196167,5.225339889526367,87.5728530883789,WesternDem,
142,0.79799998,ROU,1,14563.14,19.95299911499023,4.5,3.833498477935791,3.1291799545288086,83.92993927001953,EastEurope,
100,0.84600002,LTU,1,17559.75,2.931999921798706,4.199999809265137,3.930860996246338,4.612500190734863,96.36762237548828,EastEurope,
33,0.764,LKA,8,5466.8701,20.54100036621094,7.800000190734862,4.644126892089844,1.9256600141525269,85.42613983154297,SouthAsia,
123,0.91299999,NZL,5,26481.369,4.554999828338623,2.099999904632568,5.318371295928955,6.33680009841919,96.44001770019531,WesternDem,
158,0.88800001,SVN,1,24456.561,2.0610001087188716,2.799999952316284,4.073011398315431,5.4865899085998535,94.94590759277344,EastEurope,
171,0.73799998,THA,7,9295.5703,68.65699768066406,4.099999904632568,3.44985032081604,4.1288700103759775,83.64586639404297,SouthEastAsia,
168,0.93800002,CHE,5,50454.41,8.140000343322754,2.099999904632568,5.986858367919923,5.096079826354981,84.2464828491211,WesternDem,
54,0.44100001,ETH,4,900.7700199999999,88.34700012207031,7.0,3.5992515087127686,4.500510215759277,30.274250030517578,SubSaharian,
101,0.89600003,LUX,5,61404.48,0.550000011920929,2.099999904632568,4.580255031585693,4.0838799476623535,84.60346984863281,WesternDem,
85,0.90200001,JPN,6,36123.77,127.12000274658199,2.5999999046325684,4.430102348327637,3.591840028762817,99.04267120361328,EastAsia,
